clinic_id,name,address,phone_regular,phone_emergency,whatsapp,opening_hours,emergency_24h,website_url,applemap_url,latitude,longitude,rating,google_place_id,photo_reference
1,Veterinary Emergency Centre,"Shop B2 & C, G/F, Luen Wai Apartments, 136-142 Belcher's Street, Kennedy Town, Hong Kong",+852 2334 2334,852 6828 6620,852 6828 6620,Mon-Sun: 24-hour,TRUE,https://www.vec.com.hk/,https://maps.apple/p/z7sXSYKtG1v-~r,22.282349,114.127091,4.3,ChIJJ9qawiX_AzQR3u9_ZQURv5w,ATCDNfULovPw9YTvSqbQwRMeBn4C9Q8Bnr0Rlm1wFDDA0tnugh3VZPtN6Oo6_ElCUogRSO7PDbkqk0a9R4bf88LaWb7pqqReF72ZWze4N3Encf4RT8M8-knERZp69fkYUI_rfQh7ztZe0uGSkJGT78XLl1Pjo6YIaK_O3CLVat76tW433LaUIQK4E5Z8YL_Z1NQB6aUUmzb65_81xi4FWlSKdrtDNV2Vcq6PcrchFrf2cU6GnZqL9_jqAIoE58p6MZxsPVgMlipNwnTOrAGzQxi3hRx9APLL4hyCbDOWUQgBmTjh6g
2,Pets Central – North Point Hospital,"G/F & 1/F, Yan Wo Building, 70 Java Road, North Point, Hong Kong",+852 2811 8907,,,Mon-Sun: 24-hour,TRUE,https://www.pets-central.com/,https://maps.apple/p/C.6UWMfhNX7.M1,22.291813,114.198447,3.5,ChIJt3XYDwMBBDQR4OMWx8CzKV0,ATCDNfUFJPuB9Fihhon8EVNv7kmqzxoMiIlw121aOFd8EkwRO3MNsmTPDu1oJaiq5ByxPTezVX7_BVKBuGie6s9unFhvDbadBHfz0jQ2LMkUDkFLM6xRRkCZmP042qMpTWifvg2CYtwCSs_ChwyA8NHERUevnsGCE3jExN2NtLKqHz5o5YBcpqZxFzFny-cUaepyKd9uJCKCt_-KpQg3z1stnng8ctXQB2sPTA6ZPI3qsNYmokRDmEbmI5zN-FVkFdk7QDqJFJiBRVMs4VMH-VDpOqzIlMyofeBXMAB5uZF0IAk4eg
3,CityU Veterinary Medical Centre,"G/F-2/F, Trinity Towers, 339 Lai Chi Kok Road, Sham Shui Po, Kowloon, Hong Kong",+852 3650 3000,852 3650 3200,,Mon-Sun: 24-hour,TRUE,https://cityuvmc.com.hk/,https://maps.apple/p/wmefPLp0BPnJQF,22.328954,114.159634,3.7,ChIJecP5-sUABDQRjBggTA-nxg0,ATCDNfXA1D0mKg3A1HcYQxxIdH6jQGKMob4F8HnuX9W-hcq8seT3D6MuagRmFKykCdzL0L6DbTIsOmUGXnZpu1NossUo864n1l9RnPwklU-oUtmC4a06ir2-3ot-5_MlnyQTY9EVVbrXjMhpI45PEisXrdJRN932VIBJQ-s_3uFDUN_3EIRlh1NFEM0m9Wd0OBXR3LpQod0UDtymD0f0844pmAg8tuZVeE1VLlfF693ZhKlk1azzSjSJ-XOeVGC-GrhFwGDQMTcDhFrVe6gkHvAB1bBpqmAXnXCgi1rViFJnhE4vGw
4,Animal Medical Centre,"Shop No.1, G/F, VAU Residence, 11 Liberty Avenue, Ho Man Tin (Entrance at Victory Avenue)",+852 2713 4155,,852 9165 9870,Mon-Sun: 24-hour,TRUE,https://amcvet.com.hk/,https://maps.apple/p/BVQaBXMSiN4hDY,22.318969,114.174559,3.5,ChIJoeyWRnEBBDQRNUKv52WaykQ,ATCDNfUcS-AeI3Q2_OAVMjzC1ql0NmxzMoaKQoin3_lnfFa4WgZaSkGUMoREk4yX6eWx5UvWLRziTrI-Oe5SyQ53aegCxpDUxMl7qYoljwo5WvI5H7tccDZu_pKOTyimpMo6OV2mUOKJDazCB0liXVGlC43Trhn7U9h8hdZ79fP5nl9C3ddX1GRtN_5y4p_92uTjetnazgTyLrFGAPHPemT6SuU8V2xMDHCNtQ7A-9xyw3vpw8_RIYrcMPToOn5IyJGAH51tvzABEN3ihRhE697kyBBqBKEGEbiqqkRKa-0CbD-dkIFSArD5RmY1Zy0ECDjL6nOpNVR6EAHkHZoovVZ8FNOOLnoKxwOpE5Izc-DHWYjuE4gk5LLV5loVKO4y-B5gXl9lt11dmg7yzO1mEQPYbxBbBZuaweLjwVm2JWSP3pA
5,Acorn Veterinary Hospital,"G/F 68-80 Second Street, Sai Ying Pun, Hong Kong",+852 2540 0228,,852 5374 4244,Mon-Sat: 09:00-19:00; Sun/PH: 10:00-17:00,FALSE,http://www.acornvets.com/,https://maps.apple/p/LCv8GZspDaQ7-G,22.286033,114.14156,4.2,ChIJeT9S0ID_AzQRfci_UZSGlXk,ATCDNfUjj_qJ2t89Uff3mvFhKazillYi9nUuZPqWk1FKMfakS51TVPy0_Q0Aap0JwKQP7A0o39U15MTCx8LP2Wq1RSUnrRksq8iL6ydddhf2PhRBKlzbSRIhtvQiu2r4btEbzbYObWvngaIhbXW1tBX1bvfugITrKcZN6-leZy7rJ9vHhRsMv46z9jidCcnLVBz63Wo3dOwCCtB7oOPJyWnUow5BB6bzC3bdb89hUV0lrMYgrNlSVh5uEbAF7HnIQQkooX91glmuKIkRxLhVjpqqTO0WZda4WEqgndG0nhHf5i1il3FBqPJDJIZ4DfImEiXNxSW26t9hegMcvvIGXW5XCxkEfvBkJj6T5b6Y7AvO6Bo4pBRjaSW8MM_RPyMVn3zS6kvkeZnImHebz5Hc7lCOBeuFEhX6Is-wUYhHVqQQvn4
6,Pets Central – Mong Kok Hospital,"1/F & 2/F, Sun Ming Bldg., 484-488 Shanghai Street, Mong Kok, Hong Kong",+852 2309 2139,,,Mon-Sun: 24-hour,TRUE,https://www.pets-central.com/,https://maps.apple/p/JQT56I6xD2pM4v,22.316465,114.168867,3.7,ChIJuQb3a8cABDQR0VgkIQ2tv5U,ATCDNfUe_u4kg6JWYm1sKZefVZN2KfTjSAQ4RJXI2DAtTSpJTDaaOXXnFKxWIpNwZo-z9DokLZO2-qYgVgK33dTjhEExnWmYZjVIHL1pf2Z7TvQjrX_OKwK7rAxxfJbYPJYuvX20Aiqb3akKd5z2nEMZ-oolhLWGoHwSv0rKE8ST7w6xsVGuOJDZDbfpwquit1eJFu8rVhinqeDeTZMoZKyI99xagGtWQOECRPL0r6NXc0f1VflSTO9vDOcF7b6iv2jS0ZilXloJPN1RJ6oliyE0-7yeS-w8TfgELLmFg_JlbdHhyg
7,Pets Central – Tseung Kwan O Hospital,"Shop B01A, Park Central, No. 9 Tong Tak Street, Tseung Kwan O, Hong Kong",+852 2244 6684,,,Mon-Sun: 08:30-20:30,FALSE,https://www.pets-central.com/,https://maps.apple/p/C2oZ0_yBebuJt_,22.307585,114.258073,3,ChIJ984ePvIDBDQRYnLQ0mqhSEI,ATCDNfWF7y4m1OyeBFfte-2XWasH4mprG_F3aDg-L9Zc1lPBfAvuSjLur7jbsb1YoK4hjHevBDKiJY_vxU7j04bB3LsqjCsXO924X6Yr23x-OzjQ6TQP_L036FacWDvukJJsRrr8mhHGJXugaex4LE0tm-5e6j6Xuxf9oaKaakslWptKKncqw2o2K70t4S2qp1CG9UYoX9_SVEytOkgS3jSMDGfS0vG6mKos4ybyXg6k2BjC4k2jBvcmtyB88Sso4duughJeRmsxuNAweOjyGE-Z7oRvQ4B4lrZwo9WnAfLRzhyM4Q
8,Pets Central – Sai Kung Hospital,"Shop 8, 66 Yi Chung Street, Sai Kung, NT, Hong Kong",+852 2792 0833,,,Mon-Sun: 09:30-19:30,FALSE,https://www.pets-central.com/,https://maps.apple/p/1_C2QMLfwxXX2y,22.380519,114.271608,4.1,ChIJH4pDpOYFBDQR0xsQ9W11-T4,ATCDNfXEEqczKuDM_LD2IzSdDvbcbRYYp7WToWrZ2lCBq_AG3upD_7ryGgXj-E6J0GE2mriLdS68gCBNDtyxqGaHRn1RSR0K3fCzqUBVOAjtkkwfLduCd1JyNkgLmjJ158hJbQUIZxCe7y5ffGuOHWFiEtxRUVYCVXd-AyT_CHOoHYPG-EExCD8JVACdIPC6ViEYiNGKQjBKudUpao3rki51qNiuDGqqWTMn9Hku1KImpPUCb2uIUdcLjo4CsMCM5fUVTJCay_z1y-hieRCCMqnwgXYAKNdrAHphz39pWi0whDY7bciRj734dQ5mFTEItSsDbBeA3WKpexNRdRgxxEZrD3DqZEHvPoBju0UQY8XG6dvi3MrZGeocj0iEay4ZfoNtP6EckSZLrFxUg_oT6EqqHfRYxETIIITTr1-lKNUakfASTxI
9,North Point Animal Hospital,"19 Kin Wah Street, North Point, Hong Kong",+852 2307 6622,,,Mon-Sun: 24-hour,TRUE,http://www.northpointvets.com.hk/,https://maps.apple/p/MQ6yLhf631Jv-K,22.288927,114.196859,4.4,ChIJq1lDCeUBBDQRP-lO2lB0m0w,ATCDNfUtj7jCk8_jCbnE-NBFRalYoubIo0i6O0O6V0yVRF4ZgiRdcQ95NA9MUvE8IMIU2wAcf5DJNlQ6GRWlIlvCAU8LqCRkdYn7DOvPbkA-WGkW1QFR1gea9ohH5nr6SYx1FYOig1rqYYOQbUWKeOJjNBIPGc0vDlyNoAkJsS8PHBhdbMWPb8f_T3h2UyqmbB5jYl3LU6im-3zlOx9XgRG_VknH5f92TQ459pDdbmXE_agJwNPdh0xwASEGDs9Oc7CBbi-hs_mROiK1WDiPYLzJ27s-kCzE_Og77s4lp_GdGSR0Kw
10,CityU Veterinary Medical Centre,(legacy/clinic) Ho Man Tin / Mong Kok area — associated with CityU VMC,+852 3650 3000,852 3650 3200,,Mon-Sun: 24-hour,TRUE,https://cityuvmc.com.hk/,https://maps.apple/p/wmefPLp0BPnJQF,22.328954,114.159634,3.7,ChIJecP5-sUABDQRjBggTA-nxg0,ATCDNfVfrGGflQqqXzqG_xSfyWTXhC-et-3WFRgxnX0I5C8murHrt_kO9uxd4IQZRXS9oQEpM8d-tmYJMOSV-XDZY5HiKC7ImBNxYuM7qVfNhHbP0S1MkeHC3iIgQUVXATqRHpDl1e47t3zDJMyPMgqv7JrxK9Ea6lG_SZu3qceO00t1AxjElj8qXi3GyN5vmcxhOR5WWQS5NrQcbv2RheNkwj8NEhAL1PKRCM9Zrr5u1rpwKM6a6DHeuvh94pObTZLhVC3EWEEVB6ibE3pccTSiYzvdjTZpiIlJs4sOyBjt-KYjig
